,name,rating,location,price
110,Sophisticated brand new flat,8.8,"6 Calle de Don Pedro 4º int izq, Centro, 28005 Madrid, Spain",€ 810
111,Petit Palace Triball,8.8,"Gonzalo Jimenez de Quesada, 2 (esquina Gran Vía, 32), Centro, 28004 Madrid, Spain",€ 809
112,Hostal Meyra,8.2,"Fuencarral, 39 4º Izda, Centro, 28004 Madrid, Spain",€ 510
113,MintyStay - 1 BD Opera,8.3,"Calle de las Fuentes 5, Centro, 28013 Madrid, Spain",€ 849
114,Only YOU Boutique Hotel Madrid,9.1,"Barquillo, 21, Centro, 28004 Madrid, Spain","€ 1,460"
115,Arc House Madrid - Puerta del Sol Only Adults,7.5,"2 Calle de la Victoria 1ero Derecha, Centro, 28012 Madrid, Spain",€ 328
116,Fantastic flat in Callao-Gran Vía 4P. CALL,5.0,"Calle de Preciados, Centro, 28013 Madrid, Spain",€ 694
117,Apartamentos Cava Baja,8.8,"Calle Grafal 4, Centro, 28005 Madrid, Spain",€ 769
118,Salomé,8.8,"Del Pez, 40, 2 Izquierda, Centro, 28004 Madrid, Spain",€ 544
119,Home Suite Home Gran Via,8.7,"Fuencarral, 4, Centro, 28004 Madrid, Spain",€ 671
120,Hostal Fuentesol,7.1,"Victoria, 2 , 3º - izq., Centro, 28012 Madrid, Spain",€ 206
121,Alhambra Suites,8.2,"Espoz y Mina, 8, 2ª Planta, Centro, 28012 Madrid, Spain",€ 600
122,Hostal Adis,8.7,"De la puebla, 14 Planta 1, Centro, 28004 Madrid, Spain",€ 595
123,Apartamentos Principe 7,8.7,"7 Calle del Príncipe, Centro, 28012 Madrid, Spain",€ 836
124,Hotel Los Condes,8.5,"Libreros, 7, Centro, 28004 Madrid, Spain",€ 726
